date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:23:47	562879/562879	---M--	200	added ('OK')	application/pdf	etag:%22896bf-56b7200216781%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/04DemoDijkstra.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/04DemoDijkstra.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:23:52	347287/347287	---M--	200	added ('OK')	application/pdf	etag:%2254c97-56b72004b940f%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/04DemoEdmondsBranching.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/04DemoEdmondsBranching.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:23:52	1031651/1031651	---M--	200	added ('OK')	application/pdf	etag:%22fbde3-59c2eef554d30%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/04DemoMST.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/04DemoMST.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:23:53	303712/303712	---M--	200	added ('OK')	application/pdf	etag:%224a260-56b7200890598%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/05DemoMerge.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/05DemoMerge.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:23:58	385880/385880	---M--	200	added ('OK')	application/pdf	etag:%225e358-56b72008aa6ec%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/05DemoQuick.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/05DemoQuick.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:24:48	14234403/14234403	---M--	200	added ('OK')	application/pdf	etag:%22d93323-59f6d09ef4ed7%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/04GreedyAlgorithmsII-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/04GreedyAlgorithmsII-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:24:58	9388510/9388510	---M--	200	added ('OK')	application/pdf	etag:%228f41de-56b720093304d%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/05DivideAndConquerI-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/05DivideAndConquerI-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:24:59	11011494/11011494	---M--	200	added ('OK')	application/pdf	etag:%22a805a6-56b72009ae07a%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/05DivideAndConquerII-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/05DivideAndConquerII-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:25:00	7158608/7158608	---M--	200	added ('OK')	application/pdf	etag:%226d3b50-59c2ef11d46f8%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/06DynamicProgrammingI-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/06DynamicProgrammingI-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:25:11	1296895/1296895	---M--	200	added ('OK')	application/pdf	etag:%2213c9ff-56b7200d7754a%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/07DemoFordFulkerson.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/07DemoFordFulkerson.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
